Condition_rows,NumberLetter,corrAns,StimFile,ImgType,ArrowImg,False_StimFile,DurationTrial,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,Cued.thisRepN,Cued.thisTrialN,Cued.thisN,Cued.thisIndex,Uncued.thisRepN,Uncued.thisTrialN,Uncued.thisN,Uncued.thisIndex,text.started,text.stopped,key_resp_0.keys,key_resp_0.rt,key_resp_0.started,key_resp_0.stopped,polygon.started,polygon.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,image.started,image.stopped,Arrow.started,Arrow.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
28:32,None,2,ship.jpg,Vehicles,ArrowUp.png,None,None,0,5,5,7,,,,,0,2,2,1,,,,,,,83.81522580003366,None,,,,,,,,,2,0.13107509980909526,83.66749760019593,None,83.66749760019593,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
28:32,None,3,tractor.jpg,Vehicles,ArrowRight.png,None,None,0,5,5,7,,,,,0,3,3,3,,,,,,,85.14906690013595,None,,,,,,,,,2,0.2207599999383092,84.88271700008772,None,84.88271700008772,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
28:32,,,,,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
12:16,None,3,lynx.jpg,Animal,ArrowRight.png,None,None,0,6,6,3,0,0,0,1,,,,,,,,,,,87.50028940010816,None,2,0.20453150011599064,87.2119880001992,None,87.2119880001992,None,87.2119880001992,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
12:16,None,1,rhino.jpg,Animal,ArrowLeft.png,None,None,0,6,6,3,0,1,1,3,,,,,,,,,,,88.63459859997965,None,2,0.09487829986028373,88.51675840001553,None,88.51675840001553,None,88.51675840001553,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
12:16,None,1,lioness.jpg,Animal,ArrowLeft.png,None,None,0,6,6,3,0,2,2,0,,,,,,,,,,,90.26810550014488,None,2,0.5144523000344634,89.70150880003348,None,89.70150880003348,None,89.70150880003348,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
12:16,None,2,platypus.jpg,Animal,ArrowUp.png,None,None,0,6,6,3,0,3,3,2,,,,,,,,,,,91.38372160005383,None,2,0.07542600017040968,91.28443710017018,None,91.28443710017018,None,91.28443710017018,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
12:16,None,3,lynx.jpg,Animal,ArrowRight.png,None,None,0,6,6,3,,,,,0,0,0,1,,,,,,,92.72748720017262,None,,,,,,,,,2,0.19987949985079467,92.45518510020338,None,92.45518510020338,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
12:16,None,1,lioness.jpg,Animal,ArrowLeft.png,None,None,0,6,6,3,,,,,0,1,1,0,,,,,,,93.9865926001221,None,,,,,,,,,2,0.22514290013350546,93.7382153000217,None,93.7382153000217,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
12:16,None,2,platypus.jpg,Animal,ArrowUp.png,None,None,0,6,6,3,,,,,0,2,2,2,,,,,,,95.0852542000357,None,,,,,,,,,2,0.06443739985115826,94.98889050004072,None,94.98889050004072,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
12:16,None,1,rhino.jpg,Animal,ArrowLeft.png,None,None,0,6,6,3,,,,,0,3,3,3,,,,,,,96.37160219997168,None,,,,,,,,,2,0.25955440010875463,96.08979680016637,None,96.08979680016637,None,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
12:16,,,,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
32:36,None,2,train,Vehicles,ArrowUp.png,None,None,0,7,7,8,0,0,0,0,,,,,,,,,,,98.95436410000548,None,2,0.38917080010287464,98.52274170005694,None,98.52274170005694,None,98.52274170005694,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
32:36,None,3,armchair.jpg,Furniture,ArrowRight.png,None,None,0,7,7,8,0,1,1,2,,,,,,,,,,,100.57802380016074,None,2,0.46798130008392036,100.02265430008993,None,100.02265430008993,None,100.02265430008993,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
32:36,None,2,bed.jpg,Furniture,ArrowUp.png,None,None,0,7,7,8,0,2,2,3,,,,,,,,,,,101.97366930008866,None,2,0.3177575001027435,101.60569160012528,None,101.60569160012528,None,101.60569160012528,None,,,,,,,,,,001,2021_Nov_10_1456,Gallery_fMRI,2021.2.3,None,
